Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),1151364.42,0.00,1514922.73,,,,,,1197443.00,,1399635.02,1423999.22,1446131.56,245618.38
Usage Completion Tokens (tokens),732.29,14.00,9075.00,236529.00,20.22,84.00,111.20,184.50,318.00,681.00,1567.40,2809.40,6372.40,1187.83
Usage Prompt Tokens (tokens),87690.77,467.00,255550.00,28324120.00,2984.68,28595.80,33125.80,57602.00,85243.00,110818.50,128157.60,148830.80,251994.90,46454.98
Usage Total Tokens (tokens),88423.06,487.00,255734.00,28560649.00,3008.14,28829.90,33311.40,58252.00,86225.00,111651.00,130162.80,153592.30,253325.52,46745.35

Metric,Value
Benchmark Duration (sec),929.85
Input Token Throughput (tokens/sec),30132.00
Maximum Response Timestamp (ns),1785133097331596032.00
Minimum Request Timestamp (ns),1785132167481309184.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),251.63
Request Count,323.00
Request Throughput (requests/sec),0.34
Theoretical Prefix Cache Hit (%),94.19
Total Input Sequence Length (tokens),28324120.00
Total Output Sequence Length (tokens),236529.00
Total Output Tokens (tokens),236529.00
Total Token Throughput (tokens/sec),30383.62
Total Usage Completion Tokens (tokens),236529.00
Total Usage Prompt Tokens (tokens),28324120.00
Total Usage Total Tokens (tokens),28560649.00
