Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),198.35,0.00,14543.82,,,,,,256.03,,307.18,324.21,372.23,123.67
Active Decode Throughput Per User (tokens/sec/user),25.72,0.00,2077.69,,,,,,32.58,,39.57,41.86,47.25,15.88
Active Prefill Throughput (tokens/sec),22729.85,662.61,252026.47,,,,,,17886.54,,41032.33,55600.05,103089.37,19111.91
Active Prefill Throughput Per User (tokens/sec/user),9097.17,220.87,146986.36,,,,,,4869.89,,17249.62,30210.99,87466.74,14529.66
Active Total Throughput (tokens/sec),21198.61,35.71,252026.47,,,,,,17120.71,,39718.70,54194.29,100826.32,19325.31
Credit Drop Latency (ms),4.03,0.64,19.03,233.69,0.65,0.72,0.78,1.12,2.74,4.40,8.73,14.13,18.91,4.36
Credit-to-Start Latency (ms),3.63,0.80,97.48,3166.94,0.91,1.03,1.09,1.21,1.43,2.09,8.28,14.70,33.66,7.44
E2E Output Token Throughput (tokens/sec/user),14.13,0.09,36.11,12336.78,0.88,2.74,3.97,7.42,13.21,20.82,25.80,28.03,31.02,8.10
Effective Concurrency,11.02,0.00,17.00,,,,,,11.00,,14.00,14.00,16.00,2.35
Effective Decode Concurrency,7.43,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.94
Effective Decode Throughput (tokens/sec),198.17,0.00,14543.82,,,,,,255.97,,307.15,324.18,372.11,123.76
Effective Decode Throughput Per User (tokens/sec/user),25.69,0.00,2077.69,,,,,,32.57,,39.57,41.85,47.25,15.90
Effective Latency (CO-aware) (ms),45823.86,2689.24,1067740.69,40004231.74,4293.72,7861.57,10528.14,15904.43,26526.52,47218.32,89658.69,137868.78,333193.67,73447.00
Effective Prefill Concurrency,3.59,0.00,10.00,,,,,,4.00,,6.00,7.00,8.00,2.13
Effective Prefill Throughput (tokens/sec),20989.70,0.00,252026.47,,,,,,16903.75,,39576.42,54027.84,100645.57,19334.59
Effective Prefill Throughput Per User (tokens/sec/user),8400.71,0.00,146986.36,,,,,,4568.17,,15717.02,28285.69,85873.50,14170.38
Effective Total Throughput (tokens/sec),21187.87,0.00,252026.47,,,,,,17120.71,,39718.70,54194.29,100826.32,19326.30
