Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),106866.76,337.00,255550.00,87844477.00,1238.98,29215.25,45655.60,73024.25,102380.00,132918.75,179426.90,203689.05,238320.22,51146.37
Usage Total Tokens (tokens),108063.62,358.00,255734.00,88828292.00,1258.51,29458.00,46140.20,74412.50,103322.00,133707.25,181900.60,205297.95,241877.95,51830.71

Metric,Value
Benchmark Duration (sec),3618.95
Input Token Throughput (tokens/sec),24199.58
Maximum Response Timestamp (ns),1785139669639010048.00
Minimum Request Timestamp (ns),1785136050688370176.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),271.02
Request Count,822.00
Request Throughput (requests/sec),0.23
Theoretical Prefix Cache Hit (%),95.30
Total Input Sequence Length (tokens),87844477.00
Total Output Sequence Length (tokens),983815.00
Total Output Tokens (tokens),983815.00
Total Token Throughput (tokens/sec),24470.60
Total Usage Completion Tokens (tokens),983815.00
Total Usage Prompt Tokens (tokens),87844477.00
Total Usage Total Tokens (tokens),88828292.00
