Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),5304541.21,0.00,6082569.51,,,,,,5883887.41,,6032331.64,6050463.98,6069966.82,1288306.03
Usage Completion Tokens (tokens),666.38,2.00,8399.00,236566.00,11.00,72.20,92.00,115.00,284.00,654.50,1424.00,2923.30,5864.14,1120.33
Usage Prompt Tokens (tokens),96602.69,659.00,246602.00,34293954.00,1180.16,23184.30,33073.20,46701.00,90864.00,127692.00,180597.40,212323.50,243181.36,58794.02
Usage Total Tokens (tokens),97269.07,680.00,247402.00,34530520.00,1210.42,23297.70,33216.80,47064.50,92466.00,128547.50,181809.20,213132.00,244415.80,59076.04

Metric,Value
Benchmark Duration (sec),3624.05
Input Token Throughput (tokens/sec),9421.41
Maximum Response Timestamp (ns),1785160337183632128.00
Minimum Request Timestamp (ns),1785156713136738048.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),64.99
Request Count,355.00
Request Throughput (requests/sec),0.10
Theoretical Prefix Cache Hit (%),96.16
Total Input Sequence Length (tokens),34293954.00
Total Output Sequence Length (tokens),236566.00
Total Output Tokens (tokens),236566.00
Total Token Throughput (tokens/sec),9486.40
Total Usage Completion Tokens (tokens),236566.00
Total Usage Prompt Tokens (tokens),34293954.00
Total Usage Total Tokens (tokens),34530520.00
