Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),162.63,0.00,14914.10,,,,,,188.50,,229.15,247.92,269.58,79.31
Active Decode Throughput Per User (tokens/sec/user),41.91,0.00,4971.37,,,,,,47.92,,57.88,62.48,68.16,20.15
Active Prefill Throughput (tokens/sec),14624.71,160.33,157915.88,,,,,,7142.14,,36134.93,57655.76,93011.10,19285.00
Active Prefill Throughput Per User (tokens/sec/user),9448.17,160.33,110246.53,,,,,,3397.05,,24242.70,43646.02,80636.86,15516.11
Active Total Throughput (tokens/sec),12396.69,41.69,157915.88,,,,,,5963.16,,32555.95,49471.19,89834.03,18435.80
Credit Drop Latency (ms),3.72,0.71,29.86,193.51,0.74,0.80,0.95,1.70,2.48,3.39,6.37,12.63,22.70,4.69
Credit-to-Start Latency (ms),4.35,0.77,100.04,2380.06,0.86,0.96,1.03,1.12,1.34,3.07,10.63,16.18,48.21,9.03
E2E Output Token Throughput (tokens/sec/user),23.78,0.60,54.40,13006.92,1.30,2.82,4.85,10.65,24.20,36.24,42.30,44.52,50.61,14.14
Effective Concurrency,5.61,0.00,12.00,,,,,,6.00,,8.00,9.00,11.00,1.64
Effective Decode Concurrency,3.70,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.57
Effective Decode Throughput (tokens/sec),161.85,0.00,14914.10,,,,,,188.41,,229.04,247.78,269.55,79.92
Effective Decode Throughput Per User (tokens/sec/user),41.71,0.00,4971.37,,,,,,47.90,,57.86,62.46,68.10,20.31
Effective Latency (CO-aware) (ms),37332.71,566.04,658632.00,20420993.81,2115.37,2953.00,3707.38,7249.42,16625.61,43828.96,89549.84,134734.82,275852.73,60199.43
Effective Prefill Concurrency,1.91,0.00,9.00,,,,,,2.00,,4.00,5.00,7.00,1.54
Effective Prefill Throughput (tokens/sec),12186.96,0.00,157915.88,,,,,,5803.66,,32393.81,49340.11,89703.07,18428.98
