gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,6144,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,523.7387,,0,1057492.01,0.49
gfx950,256,6144,1536,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,702,1,9.599,flydsl_gemm2_abf16_wbf16_bf16_t64x64x64_split_k1_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,251684.46,2.17
gfx950,256,6144,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,795,1,175.4519,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,449810.14,0.64
gfx950,256,6144,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,540,1,613.4384,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,514607.63,0.3
