gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,7680,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,792,1,47.8621,flydsl_gemm2_abf16_wbf16_bf16_t32x128x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,504766.18,1.22
gfx950,256,7680,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,540,1,752.9937,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,524041.72,0.29
gfx950,256,7680,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,470.4029,,0,1471742.38,0.63
gfx950,256,7680,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,564,1,166.6747,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,507318.52,0.8
gfx950,256,7680,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,750,1,356.1219,flydsl_gemm3_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,474877.72,0.44
gfx950,256,7680,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,525,1,775.7769,flydsl_gemm3_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,508651.58,0.28
gfx950,256,7680,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,345.3847,,0,1346511.32,0.68
gfx950,256,7680,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,591.8437,,0,1571578.5,0.61
gfx950,256,7723,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,795,1,221.4466,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,447974.28,0.62
gfx950,256,7723,1536,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,708,1,10.8847,flydsl_gemm2_abf16_wbf16_bf16_t64x64x64_split_k1_block_m_warp4_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,278997.42,2.4
gfx950,256,7723,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,585,1,338.6074,flydsl_gemm3_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,502237.07,0.46
gfx950,256,7723,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,291,1,524.8319,flydsl_gemm3_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,445541.08,0.33
gfx950,256,7723,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,743,1,109.8114,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,497785.43,0.6
gfx950,256,7723,3072,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,792,1,48.0851,flydsl_gemm2_abf16_wbf16_bf16_t32x128x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,505238.33,1.22
gfx950,256,7723,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,540,1,761.4394,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,521130.71,0.29
gfx950,256,7723,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,532.2263,,0,1308067.76,0.56
gfx950,256,7723,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,564,1,167.7946,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,506754.18,0.8
gfx950,256,7723,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,708,1,334.3389,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,508649.23,0.47
gfx950,256,7723,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,525,1,773.8281,flydsl_gemm3_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,512787.59,0.28
gfx950,256,7723,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,342.3161,,0,1366188.28,0.69
gfx950,256,7723,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,603.261,,0,1550467.56,0.6
gfx950,256,8192,896,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,780,1,233.5494,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,450554.3,0.62
