Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),4945756.56,0.00,6265120.43,,,,,,5052389.30,,5732012.39,6054853.65,6253937.17,815449.02
Usage Completion Tokens (tokens),901.49,2.00,23766.00,1023196.00,14.34,76.00,95.00,127.00,302.00,871.50,2185.80,3895.50,8550.40,1809.51
Usage Prompt Tokens (tokens),109350.30,273.00,254393.00,124112587.00,1115.08,29726.20,46091.80,66426.50,91283.00,156012.00,200715.80,222920.40,244115.48,59813.64
Usage Total Tokens (tokens),110251.79,289.00,254833.00,125135783.00,1140.02,29840.00,46401.20,67314.00,92132.00,157231.50,201265.80,226630.10,246591.80,60237.63

Metric,Value
Benchmark Duration (sec),3628.00
Input Token Throughput (tokens/sec),34096.85
Maximum Response Timestamp (ns),1785154447918504448.00
Minimum Request Timestamp (ns),1785150819916561920.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),281.10
Request Count,1135.00
Request Throughput (requests/sec),0.31
Theoretical Prefix Cache Hit (%),96.52
Total Input Sequence Length (tokens),124112587.00
Total Output Sequence Length (tokens),1023196.00
Total Output Tokens (tokens),1023196.00
Total Token Throughput (tokens/sec),34377.95
Total Usage Completion Tokens (tokens),1023196.00
Total Usage Prompt Tokens (tokens),124112587.00
Total Usage Total Tokens (tokens),125135783.00
