Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),2497494.83,0.00,3121301.47,,,,,,2554877.51,,2822355.38,2882789.97,3106888.43,417974.67
Usage Completion Tokens (tokens),875.68,2.00,17710.00,577074.00,17.16,83.90,101.00,135.00,340.00,755.50,1942.40,3696.80,9964.96,1776.91
Usage Prompt Tokens (tokens),88564.34,342.00,224718.00,58363897.00,2390.74,22353.80,32782.20,50347.00,79692.00,114461.00,164845.40,178407.90,204669.86,48662.35
Usage Total Tokens (tokens),89440.02,363.00,235308.00,58940971.00,2853.76,22458.60,32988.00,50788.00,80345.00,116099.50,166071.80,181125.40,207086.70,49238.78

Metric,Value
Benchmark Duration (sec),3626.66
Input Token Throughput (tokens/sec),16034.03
Maximum Response Timestamp (ns),1783592838308797184.00
Minimum Request Timestamp (ns),1783589211653742080.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),158.54
Request Count,659.00
Request Throughput (requests/sec),0.18
Theoretical Prefix Cache Hit (%),95.27
Total Input Sequence Length (tokens),58363897.00
Total Output Sequence Length (tokens),577074.00
Total Output Tokens (tokens),577074.00
Total Token Throughput (tokens/sec),16192.56
Total Usage Completion Tokens (tokens),577074.00
Total Usage Prompt Tokens (tokens),58363897.00
Total Usage Total Tokens (tokens),58940971.00
