Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),1092.39,2.00,17710.00,213017.00,13.70,61.10,94.40,122.50,360.00,801.00,2972.80,5502.40,12073.82,2193.10
Usage Prompt Tokens (tokens),97031.67,467.00,249762.00,18921176.00,645.60,34882.00,36324.20,51739.50,85373.00,133089.00,167822.60,224400.10,242984.64,57080.02
Usage Total Tokens (tokens),98124.07,481.00,255452.00,19134193.00,669.30,35145.70,36433.80,52022.00,87005.00,133481.50,169337.20,229432.60,243329.40,57964.02

Metric,Value
Benchmark Duration (sec),3542.82
Input Token Throughput (tokens/sec),5212.44
Maximum Response Timestamp (ns),1783592093451634432.00
Minimum Request Timestamp (ns),1783588550633024512.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),58.68
Request Count,195.00
Request Throughput (requests/sec),0.05
Theoretical Prefix Cache Hit (%),92.79
Total Input Sequence Length (tokens),18921176.00
Total Output Sequence Length (tokens),213017.00
Total Output Tokens (tokens),213017.00
Total Token Throughput (tokens/sec),5271.12
Total Usage Completion Tokens (tokens),213017.00
Total Usage Prompt Tokens (tokens),18921176.00
Total Usage Total Tokens (tokens),19134193.00
